"country","year","average_magnitude","eneg","enep","enlp","type"
"Albania",1992,1,1.10693,2.19,1.95,"Single-Member District"
"Albania",1996,1,1.10693,2.785,1.31,"Single-Member District"
"Albania",1997,1,1.10693,2.87,2.07,"Single-Member District"
"Argentina",1946,10.53,1.3421,5.75,3.74,"Large-Magnitude PR"
"Argentina",1951,10.53,1.3421,1.97,1.21,"Large-Magnitude PR"
"Argentina",1954,4.56,1.3421,1.93,1.26,"Small-Magnitude PR"
"Argentina",1958,8.13,1.3421,2.885,1.72,"Large-Magnitude PR"
"Argentina",1960,4.17,1.3421,5.485,2.12,"Small-Magnitude PR"
"Argentina",1963,8.35,1.3421,5.98,5.06,"Large-Magnitude PR"
"Argentina",1965,4.17,1.3421,5.155,4.62,"Small-Magnitude PR"
"Argentina",1973,10.13,1.3421,3.19,2.94,"Large-Magnitude PR"
"Argentina",1983,10.58,1.3421,2.63,2.19,"Large-Magnitude PR"
"Argentina",1985,5.29,1.3421,4.24,3.36,"Small-Magnitude PR"
"Argentina",1987,5.52,1.3421,3.14,2.63,"Small-Magnitude PR"
"Argentina",1989,5.29,1.3421,3.35,2.71,"Small-Magnitude PR"
"Argentina",1991,5.29,1.3421,3.57,2.93,"Small-Magnitude PR"
"Argentina",1993,5.29,1.3421,3.37,2.7,"Small-Magnitude PR"
"Argentina",1995,5.42,1.3421,3.58,2.81,"Small-Magnitude PR"
"Argentina",1997,5.29,1.3421,3.65,3.33,"Small-Magnitude PR"
"Argentina",1999,5.42,1.3421,3.225,2.57,"Small-Magnitude PR"
"Armenia",1995,1,1.15447,4.235,2.52,"Single-Member District"
"Armenia",1999,1,1.15447,4.77,3.97,"Single-Member District"
"Australia",1946,1,1.1744,2.74,2.4,"Single-Member District"
"Australia",1949,1,1.1744,2.64,2.62,"Single-Member District"
"Australia",1951,1,1.1744,2.49,2.56,"Single-Member District"
"Australia",1954,1,1.1744,2.46,2.55,"Single-Member District"
"Australia",1955,1,1.1744,2.735,2.58,"Single-Member District"
"Australia",1958,1,1.1744,2.97,2.59,"Single-Member District"
"Australia",1961,1,1.1744,2.81,2.52,"Single-Member District"
"Australia",1963,1,1.1744,2.79,2.66,"Single-Member District"
"Australia",1966,1,1.1744,2.98,2.63,"Single-Member District"
"Australia",1969,1,1.1744,2.83,2.61,"Single-Member District"
"Australia",1972,1,1.1744,2.77,2.47,"Single-Member District"
"Australia",1974,1,1.1744,2.66,2.52,"Single-Member District"
"Australia",1975,1,1.1744,2.7,2.51,"Single-Member District"
"Australia",1977,1,1.1744,3.115,2.45,"Single-Member District"
"Australia",1980,1,1.1744,2.81,2.64,"Single-Member District"
"Australia",1983,1,1.1744,2.67,2.23,"Single-Member District"
"Australia",1984,1,1.1744,2.79,2.38,"Single-Member District"
"Australia",1987,1,1.1744,3.02,2.28,"Single-Member District"
"Australia",1990,1,1.1744,3.34,2.35,"Single-Member District"
"Australia",1993,1,1.1744,2.88,2.39,"Single-Member District"
"Australia",1996,1,1.1744,3.21,2.62,"Single-Member District"
"Australia",1998,1,1.1744,3.46,2.48,"Single-Member District"
"Austria",1949,6.6,1.14368,2.78,2.54,"Small-Magnitude PR"
"Austria",1953,6.6,1.14368,2.76,2.48,"Small-Magnitude PR"
"Austria",1956,6.6,1.14368,2.48,2.23,"Small-Magnitude PR"
"Austria",1959,6.6,1.14368,2.48,2.2,"Small-Magnitude PR"
"Austria",1962,6.6,1.14368,2.47,2.19,"Small-Magnitude PR"
"Austria",1966,6.6,1.14368,2.39,2.14,"Small-Magnitude PR"
"Austria",1970,6.6,1.14368,2.29,2.12,"Small-Magnitude PR"
"Austria",1971,20.33,1.14368,2.28,2.21,"Large-Magnitude PR"
"Austria",1975,20.33,1.14368,2.27,2.21,"Large-Magnitude PR"
"Austria",1979,20.33,1.14368,2.28,2.22,"Large-Magnitude PR"
"Austria",1983,20.33,1.14368,2.4,2.26,"Large-Magnitude PR"
