"congress","state","congressional_district","party","name","ideology_score"
100,"USA",0,"Republican","REAGAN",0.747
100,"ALABAMA",1,"Republican","CALLAHAN",0.358
100,"ALABAMA",2,"Republican","DICKINSON",0.349
100,"ALABAMA",3,"Democrat","NICHOLS  B",-0.039
100,"ALABAMA",4,"Democrat","BEVILL  T",-0.203
100,"ALABAMA",5,"Democrat","FLIPPO  R",-0.152
100,"ALABAMA",6,"Democrat","ERDREICH  B",-0.065
100,"ALABAMA",7,"Democrat","HARRIS  C",-0.087
100,"ALASKA",1,"Republican","YOUNG  D",0.253
100,"ARIZONA",1,"Republican","RHODES  J",0.392
100,"ARIZONA",2,"Democrat","UDALL  M",-0.382
100,"ARIZONA",3,"Republican","STUMP  B",0.746
100,"ARIZONA",4,"Republican","KYL  J",0.549
100,"ARIZONA",5,"Republican","KOLBE  J",0.305
100,"ARKANSA",1,"Democrat","ALEXANDER",-0.453
100,"ARKANSA",2,"Democrat","ROBINSON  T",-0.029
100,"ARKANSA",3,"Republican","HAMMERSCHMI",0.266
100,"ARKANSA",4,"Democrat","ANTHONY  B",-0.258
100,"CALIFOR",1,"Democrat","BOSCO  D",-0.262
100,"CALIFOR",2,"Republican","HERGER  W",0.576
100,"CALIFOR",3,"Democrat","MATSUI  R",-0.389
100,"CALIFOR",4,"Democrat","FAZIO  V",-0.451
100,"CALIFOR",5,"Democrat","PELOSI N",-0.522
100,"CALIFOR",6,"Democrat","BOXER  B",-0.456
100,"CALIFOR",7,"Democrat","MILLER  G",-0.506
100,"CALIFOR",8,"Democrat","DELLUMS  R",-0.611
100,"CALIFOR",9,"Democrat","STARK  F",-0.601
100,"CALIFOR",10,"Democrat","EDWARDS  D",-0.555
100,"CALIFOR",11,"Democrat","LANTOS  T",-0.334
100,"CALIFOR",12,"Republican","KONNYU  E",0.34
100,"CALIFOR",13,"Democrat","MINETA  N",-0.474
100,"CALIFOR",14,"Republican","SHUMWAY  N",0.59
100,"CALIFOR",15,"Democrat","COELHO  A",-0.438
100,"CALIFOR",16,"Democrat","PANETTA  L",-0.279
100,"CALIFOR",17,"Republican","PASHAYAN  C",0.228
100,"CALIFOR",18,"Democrat","LEHMAN  R",-0.284
100,"CALIFOR",19,"Republican","LAGOMARSINO",0.353
100,"CALIFOR",20,"Republican","THOMAS  W",0.35
100,"CALIFOR",21,"Republican","GALLEGLY  E",0.428
100,"CALIFOR",22,"Republican","MOORHEAD  C",0.447
100,"CALIFOR",23,"Democrat","BEILENSON",-0.406
100,"CALIFOR",24,"Democrat","WAXMAN  H",-0.46
100,"CALIFOR",25,"Democrat","ROYBAL  E",-0.601
100,"CALIFOR",26,"Democrat","BERMAN  H",-0.419
100,"CALIFOR",27,"Democrat","LEVINE  M",-0.434
100,"CALIFOR",28,"Democrat","DIXON  J",-0.442
100,"CALIFOR",29,"Democrat","HAWKINS  A",-0.38
100,"CALIFOR",30,"Democrat","MARTINEZ  M",-0.369
100,"CALIFOR",31,"Democrat","DYMALLY  M",-0.685
100,"CALIFOR",32,"Democrat","ANDERSON  G",-0.227
100,"CALIFOR",33,"Republican","DREIER  D",0.565
100,"CALIFOR",34,"Democrat","TORRES  E",-0.463
100,"CALIFOR",35,"Republican","LEWIS  J",0.351
100,"CALIFOR",36,"Democrat","BROWN  G",-0.476
100,"CALIFOR",37,"Republican","MCCANDLESS",0.464
100,"CALIFOR",38,"Republican","DORNAN  R",0.45
100,"CALIFOR",39,"Republican","DANNEMEYER",0.698
100,"CALIFOR",40,"Republican","BADHAM  R",0.564
100,"CALIFOR",41,"Republican","LOWERY  B",0.305
100,"CALIFOR",42,"Republican","LUNGREN  D",0.614
100,"CALIFOR",43,"Republican","PACKARD  R",0.407
100,"CALIFOR",44,"Democrat","BATES  J",-0.273
100,"CALIFOR",45,"Republican","HUNTER  D",0.482
100,"COLORAD",1,"Democrat","SCHROEDER",-0.251
100,"COLORAD",2,"Democrat","SKAGGS  D",-0.269
100,"COLORAD",3,"Democrat","CAMPBELL  B",-0.127
100,"COLORAD",4,"Republican","BROWN  H",0.433
100,"COLORAD",5,"Republican","HEFLEY  J",0.471
100,"COLORAD",6,"Republican","SCHAEFER  D",0.452
100,"CONNECT",1,"Democrat","KENNELLY  B",-0.326
100,"CONNECT",2,"Democrat","GEJDENSON",-0.375
100,"CONNECT",3,"Democrat","MORRISON  B",-0.385
100,"CONNECT",4,"Republican","MCKINNEY  S",-0.097
100,"CONNECT",4,"Republican","SHAYS  C",0.037
100,"CONNECT",5,"Republican","ROWLAND  G",0.149
100,"CONNECT",6,"Republican","JOHNSON  N",0.05
100,"DELAWAR",1,"Democrat","CARPER  T",-0.129
100,"FLORIDA",1,"Democrat","HUTTO  E",-0.002
100,"FLORIDA",2,"Democrat","GRANT  B",-0.214
100,"FLORIDA",3,"Democrat","BENNETT  C",-0.086
100,"FLORIDA",4,"Democrat","CHAPPELL  B",-0.153
100,"FLORIDA",5,"Republican","MCCOLLUM  B",0.351
100,"FLORIDA",6,"Democrat","MACKAY  B",-0.132
100,"FLORIDA",7,"Democrat","GIBBONS  S",-0.24
100,"FLORIDA",8,"Republican","YOUNG  C",0.32
100,"FLORIDA",9,"Republican","BILIRAKIS",0.355
100,"FLORIDA",10,"Republican","IRELAND  A",0.404
100,"FLORIDA",11,"Democrat","NELSON  C",-0.105
100,"FLORIDA",12,"Republican","LEWIS  T",0.347
100,"FLORIDA",13,"Republican","MACK  C",0.512
100,"FLORIDA",14,"Democrat","MICA  D",-0.203
100,"FLORIDA",15,"Republican","SHAW  C",0.28
100,"FLORIDA",16,"Democrat","SMITH  L",-0.343
100,"FLORIDA",17,"Democrat","LEHMAN  W",-0.512
100,"FLORIDA",18,"Democrat","PEPPER  C",-0.405
100,"FLORIDA",19,"Democrat","FASCELL  D",-0.456
100,"GEORGIA",1,"Democrat","THOMAS  L",-0.141
100,"GEORGIA",2,"Democrat","HATCHER  C",-0.208
100,"GEORGIA",3,"Democrat","RAY  R",0.022
100,"GEORGIA",4,"Republican","SWINDALL  P",0.481
100,"GEORGIA",5,"Democrat","LEWIS  J",-0.574
100,"GEORGIA",6,"Republican","GINGRICH  N",0.338
100,"GEORGIA",7,"Democrat","DARDEN  G",-0.129
100,"GEORGIA",8,"Democrat","ROWLAND  J",-0.127
100,"GEORGIA",9,"Democrat","JENKINS  E",-0.127
100,"GEORGIA",10,"Democrat","BARNARD  D",-0.015
100,"HAWAII",1,"Republican","SAIKI  P",0.077
100,"HAWAII",2,"Democrat","AKAKA  D",-0.464
100,"IDAHO",1,"Republican","CRAIG  L",0.481
100,"IDAHO",2,"Democrat","STALLINGS",-0.087
100,"ILLINOI",1,"Democrat","HAYES  C",-0.639
100,"ILLINOI",2,"Democrat","SAVAGE  G",-0.662
100,"ILLINOI",3,"Democrat","RUSSO  M",-0.207
100,"ILLINOI",4,"Republican","DAVIS  J",0.366
100,"ILLINOI",5,"Democrat","LIPINSKI  W",-0.168
100,"ILLINOI",6,"Republican","HYDE  H",0.266
100,"ILLINOI",7,"Democrat","COLLINS  C",-0.54
100,"ILLINOI",8,"Democrat","ROSTENKOWSK",-0.364
100,"ILLINOI",9,"Democrat","YATES  S",-0.509
100,"ILLINOI",10,"Republican","PORTER  J",0.187
100,"ILLINOI",11,"Democrat","ANNUNZIO  F",-0.332
100,"ILLINOI",12,"Republican","CRANE  P",0.788
100,"ILLINOI",13,"Republican","FAWELL  H",0.28
100,"ILLINOI",14,"Republican","HASTERT  JD",0.397
100,"ILLINOI",15,"Republican","MADIGAN  E",0.258
100,"ILLINOI",16,"Republican","MARTIN  L",0.336
100,"ILLINOI",17,"Democrat","EVANS  L",-0.44
100,"ILLINOI",18,"Republican","MICHEL  R",0.326
100,"ILLINOI",19,"Democrat","BRUCE  T",-0.254
100,"ILLINOI",20,"Democrat","DURBIN  D",-0.262
100,"ILLINOI",21,"Democrat","PRICE  M",-0.417
100,"ILLINOI",21,"Democrat","COSTELLO  J",-0.235
100,"ILLINOI",22,"Democrat","GRAY  K",-0.416
100,"INDIANA",1,"Democrat","VISCLOSKY",-0.374
100,"INDIANA",2,"Democrat","SHARP  P",-0.176
100,"INDIANA",3,"Republican","HILER  J",0.366
100,"INDIANA",4,"Republican","COATS  D",0.278
100,"INDIANA",5,"Democrat","JONTZ  J",-0.338
100,"INDIANA",6,"Republican","BURTON  D",0.642
100,"INDIANA",7,"Republican","MYERS  J",0.219
100,"INDIANA",8,"Democrat","MCCLOSKEY",-0.311
100,"INDIANA",9,"Democrat","HAMILTON  L",-0.152
100,"INDIANA",10,"Democrat","JACOBS  A",-0.082
100,"IOWA",1,"Republican","LEACH  J",0.131
100,"IOWA",2,"Republican","TAUKE  T",0.247
100,"IOWA",3,"Democrat","NAGLE  D",-0.339
100,"IOWA",4,"Democrat","SMITH  N",-0.304
100,"IOWA",5,"Republican","LIGHTFOOT",0.368
100,"IOWA",6,"Republican","GRANDY  F",0.271
100,"KANSAS",1,"Republican","ROBERTS  P",0.401
100,"KANSAS",2,"Democrat","SLATTERY  J",-0.087
100,"KANSAS",3,"Republican","MEYERS  J",0.177
100,"KANSAS",4,"Democrat","GLICKMAN  D",-0.147
100,"KANSAS",5,"Republican","WHITTAKER",0.316
100,"KENTUCK",1,"Democrat","HUBBARD  C",-0.016
100,"KENTUCK",2,"Democrat","NATCHER  W",-0.322
100,"KENTUCK",3,"Democrat","MAZZOLI  R",-0.186
100,"KENTUCK",4,"Republican","BUNNING  J",0.486
100,"KENTUCK",5,"Republican","ROGERS  H",0.318
100,"KENTUCK",6,"Republican","HOPKINS  L",0.332
100,"KENTUCK",7,"Democrat","PERKINS  C",-0.563
100,"LOUISIA",1,"Republican","LIVINGSTON",0.302
100,"LOUISIA",2,"Democrat","BOGGS  C",-0.372
100,"LOUISIA",3,"Democrat","TAUZIN  W",0.028
100,"LOUISIA",4,"Democrat","ROEMER  C",0.141
100,"LOUISIA",4,"Republican","MCCRERY  J",0.311
100,"LOUISIA",5,"Democrat","HUCKABY  J",-0.011
100,"LOUISIA",6,"Republican","BAKER  R",0.44
100,"LOUISIA",7,"Democrat","HAYES  J",-0.122
100,"LOUISIA",8,"Republican","HOLLOWAY  C",0.478
100,"MAINE",1,"Democrat","BRENNAN  J",-0.302
100,"MAINE",2,"Republican","SNOWE  O",0.084
100,"MARYLAN",1,"Democrat","DYSON  R",-0.11
100,"MARYLAN",2,"Republican","BENTLEY  H",0.246
100,"MARYLAN",3,"Democrat","CARDIN  B",-0.305
100,"MARYLAN",4,"Democrat","MCMILLEN  T",-0.204
100,"MARYLAN",5,"Democrat","HOYER  S",-0.363
100,"MARYLAN",6,"Democrat","BYRON  B",-0.027
100,"MARYLAN",7,"Democrat","MFUME  K",-0.379
100,"MARYLAN",8,"Republican","MORELLA  C",-0.062
100,"MASSACH",1,"Republican","CONTE  S",-0.088
100,"MASSACH",2,"Democrat","BOLAND  E",-0.354
100,"MASSACH",3,"Democrat","EARLY  J",-0.264
100,"MASSACH",4,"Democrat","FRANK  B",-0.456
100,"MASSACH",5,"Democrat","ATKINS  C",-0.399
100,"MASSACH",6,"Democrat","MAVROULES",-0.344
100,"MASSACH",7,"Democrat","MARKEY  E",-0.451
100,"MASSACH",8,"Democrat","KENNEDY  J",-0.386
100,"MASSACH",9,"Democrat","MOAKLEY  J",-0.405
100,"MASSACH",10,"Democrat","STUDDS  G",-0.442
100,"MASSACH",11,"Democrat","DONNELLY  B",-0.291
100,"MICHIGA",1,"Democrat","CONYERS  J",-0.633
100,"MICHIGA",2,"Republican","PURSELL  C",0.124
100,"MICHIGA",3,"Democrat","WOLPE  H",-0.371
100,"MICHIGA",4,"Republican","UPTON  F",0.302
100,"MICHIGA",5,"Republican","HENRY  P",0.236
100,"MICHIGA",6,"Democrat","CARR  B",-0.237
100,"MICHIGA",7,"Democrat","KILDEE  D",-0.366
100,"MICHIGA",8,"Democrat","TRAXLER  B",-0.344
100,"MICHIGA",9,"Republican","VANDERJAGT",0.24
100,"MICHIGA",10,"Republican","SCHUETTE  B",0.245
100,"MICHIGA",11,"Republican","DAVIS  R",0.079
100,"MICHIGA",12,"Democrat","BONIOR  D",-0.522
100,"MICHIGA",13,"Democrat","CROCKETT  G",-0.661
100,"MICHIGA",14,"Democrat","HERTEL  D",-0.329
100,"MICHIGA",15,"Democrat","FORD  W",-0.514
100,"MICHIGA",16,"Democrat","DINGELL  J",-0.413
100,"MICHIGA",17,"Democrat","LEVIN  S",-0.351
100,"MICHIGA",18,"Republican","BROOMFIELD",0.226
100,"MINNESO",1,"Democrat","PENNY  T",-0.058
100,"MINNESO",2,"Republican","WEBER  V",0.343
100,"MINNESO",3,"Republican","FRENZEL  B",0.336
100,"MINNESO",4,"Democrat","VENTO  B",-0.449
100,"MINNESO",5,"Democrat","SABO  M",-0.49
100,"MINNESO",6,"Democrat","SIKORSKI  G",-0.24
100,"MINNESO",7,"Republican","STANGELAND",0.306
100,"MINNESO",8,"Democrat","OBERSTAR  J",-0.545
100,"MISSISS",1,"Democrat","WHITTEN  J",-0.267
100,"MISSISS",2,"Democrat","ESPY  M",-0.376
100,"MISSISS",3,"Democrat","MONTGOMERY",-0.012
100,"MISSISS",4,"Democrat","DOWDY  W",-0.253
100,"MISSISS",5,"Republican","LOTT  T",0.398
100,"MISSOUR",1,"Democrat","CLAY  W",-0.499
100,"MISSOUR",2,"Republican","BUECHNER J",0.3
100,"MISSOUR",3,"Democrat","GEPHARDT  R",-0.359
100,"MISSOUR",4,"Democrat","SKELTON  I",-0.137
100,"MISSOUR",5,"Democrat","WHEAT  A",-0.434
100,"MISSOUR",6,"Republican","COLEMAN  E",0.232
100,"MISSOUR",7,"Republican","TAYLOR  G",0.272
100,"MISSOUR",8,"Republican","EMERSON  B",0.315
100,"MISSOUR",9,"Democrat","VOLKMER  H",-0.186
100,"MONTANA",1,"Democrat","WILLIAMS  P",-0.284
100,"MONTANA",2,"Republican","MARLENEE  R",0.405
100,"NEBRASK",1,"Republican","BEREUTER  D",0.196
100,"NEBRASK",2,"Republican","DAUB  H",0.346
100,"NEBRASK",3,"Republican","SMITH  V",0.195
100,"NEVADA",1,"Democrat","BILBRAY  J",-0.173
100,"NEVADA",2,"Republican","VUCANOVICH",0.427
100,"NEW HAM",1,"Republican","SMITH  RC",0.554
100,"NEW HAM",2,"Republican","GREGG  J",0.398
100,"NEW JER",1,"Democrat","FLORIO  J",-0.312
100,"NEW JER",2,"Democrat","HUGHES  W",-0.159
100,"NEW JER",3,"Democrat","HOWARD  J",-0.459
100,"NEW JER",4,"Republican","SMITH  C",0.075
100,"NEW JER",5,"Republican","ROUKEMA  M",0.113
100,"NEW JER",6,"Democrat","DWYER  B",-0.362
100,"NEW JER",7,"Republican","RINALDO  M",0.031
100,"NEW JER",8,"Democrat","ROE  R",-0.325
100,"NEW JER",9,"Democrat","TORRICELLI",-0.264
100,"NEW JER",10,"Democrat","RODINO  P",-0.532
100,"NEW JER",11,"Republican","GALLO  D",0.195
100,"NEW JER",12,"Republican","COURTER  J",0.225
100,"NEW JER",13,"Republican","SAXTON  H",0.202
100,"NEW JER",14,"Democrat","GUARINI  F",-0.281
100,"NEW MEX",1,"Republican","LUJAN  M",0.245
100,"NEW MEX",2,"Republican","SKEEN  J",0.294
100,"NEW MEX",3,"Democrat","RICHARDSON",-0.295
100,"NEW YOR",1,"Democrat","HOCHBRUECKN",-0.334
100,"NEW YOR",2,"Democrat","DOWNEY  T",-0.393
100,"NEW YOR",3,"Democrat","MRAZEK  R",-0.335
100,"NEW YOR",4,"Republican","LENT  N",0.167
100,"NEW YOR",5,"Republican","MCGRATH  R",0.144
100,"NEW YOR",6,"Democrat","FLAKE  F",-0.508
100,"NEW YOR",7,"Democrat","ACKERMAN  G",-0.433
100,"NEW YOR",8,"Democrat","SCHEUER  J",-0.441
100,"NEW YOR",9,"Democrat","MANTON  T",-0.375
100,"NEW YOR",10,"Democrat","SCHUMER  C",-0.345
100,"NEW YOR",11,"Democrat","TOWNS  E",-0.518
100,"NEW YOR",12,"Democrat","OWENS  M",-0.558
100,"NEW YOR",13,"Democrat","SOLARZ  S",-0.398
100,"NEW YOR",14,"Republican","MOLINARI  G",0.246
100,"NEW YOR",15,"Republican","GREEN  S",-0.046
100,"NEW YOR",16,"Democrat","RANGEL  C",-0.519
100,"NEW YOR",17,"Democrat","WEISS  T",-0.576
100,"NEW YOR",18,"Democrat","GARCIA  R",-0.534
100,"NEW YOR",19,"Democrat","BIAGGI  M",-0.334
100,"NEW YOR",20,"Republican","DIOGUARDI",0.179
100,"NEW YOR",21,"Republican","FISH  H",0.049
100,"NEW YOR",22,"Republican","GILMAN  B",0.032
100,"NEW YOR",23,"Democrat","STRATTON  S",-0.092
100,"NEW YOR",24,"Republican","SOLOMON  G",0.472
100,"NEW YOR",25,"Republican","BOEHLERT  S",0.034
100,"NEW YOR",26,"Republican","MARTIN  D",0.207
100,"NEW YOR",27,"Republican","WORTLEY  G",0.165
